date	value_zq	value_hs300
2013-11-04	1.117	1.054
2013-11-05	1.118	1.055
2013-11-06	1.117	1.0446
2013-11-07	1.117	1.0401
2013-11-08	1.116	1.0289
2013-11-11	1.115	1.0315
2013-11-12	1.114	1.0399
2013-11-13	1.111	1.0218
2013-11-14	1.109	1.0273
2013-11-15	1.106	1.0432
2013-11-18	1.106	1.0702
2013-11-19	1.104	1.0645
2013-11-20	1.102	1.0687
2013-11-21	1.101	1.0634
2013-11-22	1.1	1.0592
2013-11-25	1.096	1.0561
2013-11-26	1.094	1.0558
2013-11-27	1.094	1.065
2013-11-28	1.095	1.0736
2013-11-29	1.097	1.0734
2013-12-02	1.098	1.0665
2013-12-03	1.098	1.0747
2013-12-04	1.098	1.0858
2013-12-05	1.097	1.0834
2013-12-06	1.096	1.0779
2013-12-09	1.096	1.0773
2013-12-10	1.095	1.0782
2013-12-11	1.094	1.0642
2013-12-12	1.093	1.0633
2013-12-13	1.094	1.0622
2013-12-16	1.093	1.0487
2013-12-17	1.092	1.0447
2013-12-18	1.091	1.0451
2013-12-19	1.088	1.0365
2013-12-20	1.087	1.018
2013-12-23	1.086	1.02
2013-12-24	1.087	1.0213
2013-12-25	1.086	1.027
2013-12-26	1.086	1.0134
2013-12-27	1.086	1.0265
2013-12-30	1.086	1.0251
2013-12-31	1.086	1.0356
2014-01-02	1.086	1.0327
2014-01-03	1.085	1.0219
2014-01-06	1.084	1.0038
2014-01-07	1.083	1.0036
2014-01-08	1.082	1.0049
2014-01-09	1.081	0.9982
2014-01-10	1.08	0.9923
2014-01-13	1.079	0.9885
2014-01-14	1.076	0.9951
2014-01-15	1.075	0.9938
2014-01-16	1.075	0.9949
2014-01-17	1.074	0.9834
2014-01-20	1.073	0.9792
2014-01-21	1.074	0.9865
2014-01-22	1.077	1.0059
2014-01-23	1.078	1.0018
2014-01-24	1.08	1.0066
2014-01-27	1.08	0.9964
2014-01-28	1.083	0.9977
2014-01-29	1.084	1.0003
2014-01-30	1.084	0.9916
2014-02-07	1.084	0.9949
2014-02-10	1.086	1.0138
2014-02-11	1.088	1.0201
2014-02-12	1.09	1.0221
2014-02-13	1.093	1.0182
2014-02-14	1.096	1.0236
2014-02-17	1.097	1.029
2014-02-18	1.096	1.019
2014-02-19	1.099	1.0282
2014-02-20	1.102	1.021
2014-02-21	1.104	1.013
2014-02-24	1.105	0.9957
2014-02-25	1.106	0.9763
2014-02-26	1.107	0.9784
2014-02-27	1.109	0.9752
2014-02-28	1.11	0.9837
2014-03-03	1.111	0.9877
2014-03-04	1.109	0.9856
2014-03-05	1.105	0.9786
2014-03-06	1.104	0.9818
2014-03-07	1.106	0.98
2014-03-10	1.106	0.9556
2014-03-11	1.107	0.9593
2014-03-12	1.106	0.9613
2014-03-13	1.107	0.9704
2014-03-14	1.108	0.9643
2014-03-17	1.109	0.9712
2014-03-18	1.109	0.9695
2014-03-19	1.108	0.9635
2014-03-20	1.108	0.9517
2014-03-21	1.109	0.9766
2014-03-24	1.111	0.9826
2014-03-25	1.11	0.9819
2014-03-26	1.109	0.9806
2014-03-27	1.109	0.9756
2014-03-28	1.109	0.9741
2014-03-31	1.109	0.9721
2014-04-01	1.111	0.9779
2014-04-02	1.11	0.984
2014-04-03	1.11	0.9786
2014-04-04	1.112	0.9856
2014-04-08	1.114	1.0035
2014-04-09	1.113	1.0039
2014-04-10	1.115	1.0158
2014-04-11	1.117	1.0149
2014-04-14	1.119	1.0142
2014-04-15	1.12	1.0006
2014-04-16	1.121	1.0016
2014-04-17	1.124	0.999
2014-04-18	1.125	0.9989
2014-04-21	1.126	0.986
2014-04-22	1.126	0.9894
2014-04-23	1.127	0.9887
2014-04-24	1.127	0.9871
2014-04-25	1.129	0.9793
2014-04-28	1.129	0.9669
2014-04-29	1.128	0.9756
2014-04-30	1.13	0.976
2014-05-05	1.132	0.9752
2014-05-06	1.133	0.9756
2014-05-07	1.134	0.9685
2014-05-08	1.136	0.9686
2014-05-09	1.141	0.968
2014-05-12	1.143	0.9841
2014-05-13	1.144	0.9824
2014-05-14	1.145	0.9817
2014-05-15	1.146	0.9718
2014-05-16	1.146	0.9725
2014-05-19	1.146	0.9618
2014-05-20	1.146	0.962
2014-05-21	1.146	0.9691
2014-05-22	1.147	0.9678
2014-05-23	1.149	0.9741
2014-05-26	1.15	0.9769
2014-05-27	1.15	0.9739
2014-05-28	1.151	0.9815
2014-05-29	1.152	0.9766
2014-05-30	1.154	0.9773
2014-06-03	1.157	0.9751
2014-06-04	1.159	0.9676
2014-06-05	1.16	0.9754
2014-06-06	1.161	0.9704
2014-06-09	1.163	0.9701
2014-06-10	1.165	0.9793
2014-06-11	1.166	0.9792
2014-06-12	1.167	0.9768
2014-06-13	1.169	0.985
2014-06-16	1.169	0.9904
2014-06-17	1.166	0.9834
2014-06-18	1.164	0.9803
2014-06-19	1.165	0.9688
2014-06-20	1.167	0.9731
2014-06-23	1.169	0.9726
2014-06-24	1.17	0.9775
2014-06-25	1.17	0.9743
2014-06-26	1.17	0.9799
2014-06-27	1.174	0.9807
2014-06-30	1.174	0.9858
2014-07-01	1.174	0.9857
2014-07-02	1.174	0.9881
2014-07-03	1.174	0.9919
2014-07-04	1.174	0.9916
2014-07-07	1.174	0.9907
2014-07-08	1.175	0.9921
2014-07-09	1.174	0.9813
2014-07-10	1.175	0.9801
2014-07-11	1.176	0.9843
2014-07-14	1.173	0.993
2014-07-15	1.172	0.9941
2014-07-16	1.178	0.9929
2014-07-17	1.18	0.9889
2014-07-18	1.177	0.9926
2014-07-21	1.176	0.9934
2014-07-22	1.178	1.0027
2014-07-23	1.178	1.0045
2014-07-24	1.18	1.018
2014-07-25	1.181	1.0264
2014-07-28	1.183	1.0489
2014-07-29	1.184	1.0519
2014-07-30	1.185	1.0491
2014-07-31	1.186	1.0591
2014-08-01	1.186	1.0518
2014-08-04	1.187	1.068
2014-08-05	1.188	1.0658
2014-08-06	1.189	1.0637
2014-08-07	1.19	1.0512
2014-08-08	1.19	1.0529
2014-08-11	1.192	1.0648
2014-08-12	1.194	1.0619
2014-08-13	1.195	1.0625
2014-08-14	1.195	1.0544
2014-08-15	1.197	1.0633
2014-08-18	1.198	1.0682
2014-08-19	1.199	1.0683
2014-08-20	1.199	1.0653
2014-08-21	1.199	1.0611
2014-08-22	1.201	1.065
2014-08-25	1.202	1.0569
2014-08-26	1.202	1.0502
2014-08-27	1.203	1.0514
2014-08-28	1.203	1.0457
2014-08-29	1.204	1.0552
2014-09-01	1.206	1.0611
2014-09-02	1.208	1.0719
2014-09-03	1.209	1.0797
2014-09-04	1.21	1.0857
2014-09-05	1.211	1.0936
2014-09-09	1.21	1.0922
2014-09-10	1.21	1.0877
2014-09-11	1.21	1.0845
2014-09-12	1.211	1.0899
2014-09-15	1.212	1.0894
2014-09-16	1.209	1.0727
2014-09-17	1.211	1.077
2014-09-18	1.213	1.0796
2014-09-19	1.215	1.0855
2014-09-22	1.213	1.0692
2014-09-23	1.215	1.0764
2014-09-24	1.217	1.0912
2014-09-25	1.217	1.0893
2014-09-26	1.218	1.0892
2014-09-29	1.219	1.093
2014-09-30	1.22	1.0941
2014-10-08	1.221	1.1035
2014-10-09	1.222	1.1048
2014-10-10	1.222	1.0995
2014-10-13	1.222	1.0953
2014-10-14	1.217	1.0923
2014-10-15	1.228	1.0983
2014-10-16	1.229	1.0915
2014-10-17	1.233	1.0905
2014-10-20	1.236	1.095
2014-10-21	1.238	1.0876
2014-10-22	1.238	1.0825
2014-10-23	1.239	1.0745
2014-10-24	1.239	1.0727
2014-10-27	1.239	1.065
2014-10-28	1.243	1.0816
2014-10-29	1.248	1.0938
2014-10-30	1.253	1.1
2014-10-31	1.257	1.1139
2014-11-03	1.26	1.1154
2014-11-04	1.263	1.1154
2014-11-05	1.264	1.1122
2014-11-06	1.267	1.1131
2014-11-07	1.269	1.1117
2014-11-10	1.275	1.134
2014-11-11	1.276	1.1319
2014-11-12	1.277	1.1443
2014-11-13	1.275	1.1392
2014-11-14	1.272	1.1394
2014-11-17	1.272	1.1344
2014-11-18	1.269	1.1253
2014-11-19	1.268	1.1239
2014-11-20	1.268	1.1239
2014-11-21	1.268	1.1401
2014-11-24	1.274	1.163
2014-11-25	1.275	1.1758
2014-11-26	1.277	1.1891
2014-11-27	1.278	1.2003
2014-11-28	1.282	1.2195
2014-12-01	1.281	1.2232
2014-12-02	1.288	1.2597
2014-12-03	1.285	1.2747
2014-12-04	1.289	1.3222
2014-12-05	1.284	1.3285
2014-12-08	1.287	1.3722
2014-12-09	1.258	1.322
2014-12-10	1.265	1.3614
2014-12-11	1.265	1.3482
2014-12-12	1.264	1.3516
2014-12-15	1.264	1.3589
2014-12-16	1.267	1.3888
2014-12-17	1.26	1.4087
2014-12-18	1.258	1.4037
2014-12-19	1.259	1.4162
2014-12-22	1.272	1.4184
2014-12-23	1.273	1.3952
2014-12-24	1.273	1.3627
2014-12-25	1.278	1.3987
2014-12-26	1.283	1.4375
2014-12-29	1.283	1.4409
2014-12-30	1.285	1.4418
2014-12-31	1.29	1.468
2015-01-05	1.296	1.505
2015-01-06	1.297	1.5047
2015-01-07	1.298	1.5056
2015-01-08	1.294	1.4762
2015-01-09	1.298	1.4722
2015-01-12	1.296	1.4608
2015-01-13	1.3	1.4609
2015-01-14	1.3	1.457
2015-01-15	1.305	1.4922
2015-01-16	1.308	1.5023
2015-01-19	1.298	1.4105
2015-01-20	1.301	1.4246
2015-01-21	1.308	1.4774
2015-01-22	1.315	1.4839
2015-01-23	1.316	1.486
2015-01-26	1.313	1.496
2015-01-27	1.31	1.4845
2015-01-28	1.309	1.4674
2015-01-29	1.308	1.4525
2015-01-30	1.308	1.4363
2015-02-02	1.304	1.4086
2015-02-03	1.306	1.4373
2015-02-04	1.305	1.425
2015-02-05	1.307	1.4131
2015-02-06	1.307	1.3945
2015-02-09	1.308	1.4059
2015-02-10	1.309	1.4266
2015-02-11	1.31	1.4356
2015-02-12	1.311	1.4385
2015-02-13	1.314	1.4476
2015-02-16	1.318	1.4577
2015-02-17	1.319	1.4653
2015-02-25	1.32	1.4501
2015-02-26	1.32	1.4801
2015-02-27	1.32	1.4823
2015-03-02	1.321	1.4921
2015-03-03	1.319	1.46
2015-03-04	1.319	1.4681
2015-03-05	1.318	1.4561
2015-03-06	1.318	1.45
2015-03-09	1.319	1.4687
2015-03-10	1.318	1.4628
2015-03-11	1.319	1.4639
2015-03-12	1.321	1.4873
2015-03-13	1.321	1.4958
2015-03-16	1.323	1.5259
2015-03-17	1.323	1.5437
2015-03-18	1.323	1.5743
2015-03-19	1.323	1.5727
2015-03-20	1.324	1.5909
2015-03-23	1.327	1.6183
2015-03-24	1.327	1.6186
2015-03-25	1.325	1.6083
2015-03-26	1.324	1.6114
2015-03-27	1.325	1.6189
2015-03-30	1.324	1.6585
2015-03-31	1.322	1.6459
2015-04-01	1.324	1.6708
2015-04-02	1.325	1.6713
2015-04-03	1.325	1.687
2015-04-07	1.326	1.7174
2015-04-08	1.325	1.7325
2015-04-09	1.325	1.7212
2015-04-10	1.326	1.7503
2015-04-13	1.327	1.7727
2015-04-14	1.327	1.7783
2015-04-15	1.328	1.7581
2015-04-16	1.33	1.8033
2015-04-17	1.332	1.8299
2015-04-20	1.335	1.8047
2015-04-21	1.338	1.8384
2015-04-22	1.339	1.8803
2015-04-23	1.339	1.8796
2015-04-24	1.338	1.866
2015-04-27	1.339	1.9009
2015-04-28	1.341	1.8785
2015-04-29	1.342	1.89
2015-04-30	1.342	1.8833
2015-05-04	1.343	1.896
2015-05-05	1.341	1.8312
2015-05-06	1.341	1.8164
2015-05-07	1.342	1.7886
2015-05-08	1.343	1.8189
2015-05-11	1.345	1.8639
2015-05-12	1.347	1.8831
2015-05-13	1.348	1.8735
2015-05-14	1.351	1.8678
2015-05-15	1.352	1.8397
2015-05-18	1.353	1.825
2015-05-19	1.353	1.8773
2015-05-20	1.353	1.8868
2015-05-21	1.355	1.9208
2015-05-22	1.356	1.9578
2015-05-25	1.358	2.01
2015-05-26	1.358	2.0473
2015-05-27	1.357	2.0424
2015-05-28	1.352	1.922
2015-05-29	1.351	1.9254
2015-06-01	1.354	2.0081
2015-06-02	1.355	2.0391
2015-06-03	1.355	2.0332
2015-06-04	1.355	2.0464
2015-06-05	1.354	2.0643
2015-06-08	1.357	2.1018
2015-06-09	1.355	2.0842
2015-06-10	1.354	2.0813
2015-06-11	1.352	2.0805
2015-06-12	1.353	2.0907
2015-06-15	1.35	2.0512
2015-06-16	1.348	1.9983
