,中欧医疗健康混合A,汇添富中证主要消费ETF,国泰纳斯达克100ETF,组合1,组合2
2020-03-17,1.93,2.035599629021902,1.5866510538641687,1.8111253414430353,1.8507502276286902
2020-03-18,1.916,2.017764143539987,1.5310304449648713,1.774397294252429,1.8215981961682859
2020-03-19,1.88,1.9952914318327748,1.5579625292740047,1.7766269805533899,1.8110846537022596
2020-03-20,1.94,2.0396661197117787,1.5070257611241218,1.7733459404179501,1.8288972936119667
2020-03-23,1.897,1.985802953556396,1.5076112412177987,1.7467070973870973,1.796804731591398
2020-03-24,1.95,2.05243632731683,1.6211943793911008,1.8368153533539653,1.8745435689026433
2020-03-25,2.023,2.098023828208604,1.5977751756440282,1.847899501926316,1.906266334617544
2020-03-26,2.057,2.0993793251052293,1.6850117096018737,1.8921955173535516,1.9471303449023676
2020-03-27,2.068,2.1112220874652206,1.6153395784543325,1.8632808329597765,1.9315205553065176
2020-03-30,2.031,2.10972390668474,1.6785714285714286,1.8941476676280842,1.9397651117520562
2020-03-31,2.077,2.1975458371976884,1.6721311475409835,1.934838492369336,1.9822256615795573
2020-04-01,2.049,2.1690090604266246,1.6001170960187354,1.8845630782226799,1.9393753854817866
2020-04-02,2.073,2.1870585717343225,1.6370023419203745,1.9120304568273485,1.9656869712182323
2020-04-03,2.088,2.202753798958408,1.6165105386416863,1.909632168800047,1.9690881125333646
2020-04-07,2.147,2.280231147891846,1.7242388758782201,2.002235011885033,2.0504900079233552
2020-04-08,2.135,2.253406577727046,1.7517564402810304,2.002581509004038,2.046721006002692
2020-04-09,2.227,2.262609688235714,1.7546838407494145,2.008646764492564,2.081431176328376
2020-04-10,2.196,2.2631804237711353,1.7505854800936769,2.006882951932406,2.0699219679549374
2020-04-13,2.211,2.242063208960548,1.7693208430913347,2.005692026025941,2.0741280173506276
2020-04-14,2.247,2.2866519226653352,1.8489461358313817,2.0677990292483583,2.127532686165572
2020-04-15,2.22,2.2639651851323395,1.8272833723653397,2.0456242787488397,2.103749519165893
2020-04-16,2.238,2.2525504744239138,1.870608899297424,2.061579686860669,2.1203864579071126
2020-04-17,2.228,2.274951844189199,1.8858313817330212,2.08039161296111,2.12959440864074
2020-04-20,2.26,2.289220232574731,1.8618266978922717,2.075523465233501,2.1370156434890006
2020-04-21,2.246,2.2587572233716204,1.7950819672131146,2.0269195952923678,2.0999463968615784
2020-04-22,2.29,2.3290290361703647,1.854215456674473,2.091622246422419,2.1577481642816125
2020-04-23,2.293,2.336377256188914,1.8489461358313817,2.092661696010148,2.1594411306734314
2020-04-24,2.251,2.340301062994935,1.8776346604215457,2.10896786170824,2.1563119078054935
2020-04-27,2.295,2.3581365484768497,1.8852459016393444,2.121691225058097,2.179460816705398
2020-04-28,2.324,2.398088035956339,1.851288056206089,2.124688046081214,2.1911253640541424
2020-04-29,2.294,2.347863308839267,1.9162763466042156,2.1320698277217414,2.186046551814494
2020-04-30,2.256,2.3370193336662624,1.9174473067915692,2.1272333202289158,2.170155546819277
2020-05-06,2.29,2.359777413141186,1.9168618266978923,2.138319619919539,2.188879746613026
2020-05-07,2.304,2.3877434543768286,1.9484777517564402,2.1681106030666344,2.2134070687110894
2020-05-08,2.319,2.399942926446458,1.9701405152224827,2.1850417208344703,2.2296944805563133
2020-05-11,2.285,2.370193336662624,1.986533957845433,2.1783636472540286,2.2139090981693523
2020-05-12,2.354,2.3928800741956198,1.9502341920374708,2.1715571331165453,2.232371422077697
2020-05-13,2.44,2.42334308339873,1.9250585480093676,2.174200815704049,2.2628005438026992
2020-05-14,2.434,2.3891702932153813,1.9473067915690867,2.168238542392234,2.256825694928156
2020-05-15,2.412,2.3730470143397304,1.9596018735362999,2.166324443938015,2.2482162959586764
2020-05-18,2.468,2.4348291360490832,2.0,2.217414568024542,2.3009430453496944
2020-05-19,2.488,2.4362559748876365,1.9900468384074943,2.2131514066475653,2.30476760443171
2020-05-20,2.445,2.4131411857030747,2.0316159250585484,2.2223785553808115,2.2965857035872075
2020-05-21,2.469,2.4077191981165726,2.006440281030445,2.207079739573509,2.294386493049006
2020-05-22,2.427,2.346793179710352,2.0163934426229506,2.181593311166651,2.2633955407777675
2020-05-25,2.461,2.3968038810016408,2.0234192037470726,2.2101115423743565,2.293741028249571
2020-05-26,2.527,2.4076478561746453,2.0204918032786887,2.214069829726667,2.3183798864844447
2020-05-27,2.477,2.3843903831062283,2.0257611241217797,2.205075753614004,2.2957171690760028
2020-05-28,2.457,2.3751159306556326,2.0251756440281032,2.200145787341868,2.285763858227912
2020-05-29,2.546,2.411857030748377,2.0556206088992974,2.233738819823837,2.337825879882558
2020-06-01,2.586,2.4742098879931516,2.0649882903981265,2.269599089195639,2.375066059463759
2020-06-02,2.532,2.4595134479560534,2.073185011709602,2.2663492298328274,2.3548994865552184
2020-06-03,2.552,2.4463151886994363,2.080210772833724,2.26326298076658,2.3595086538443866
2020-06-04,2.58,2.4661482485553257,2.063231850117096,2.2646900493362105,2.3697933662241404
2020-06-05,2.622,2.463223228936292,2.1030444964871196,2.283133862711706,2.396089241807804
2020-06-08,2.58,2.477206249554113,2.117096018735363,2.2971511341447384,2.391434089429825
2020-06-09,2.609,2.497895412713134,2.127049180327869,2.3124722965205016,2.411314864347001
2020-06-10,2.675,2.502104587286866,2.1533957845433256,2.3277501859150957,2.443500123943397
2020-06-11,2.662,2.45687379610473,2.0433255269320845,2.2500996615184072,2.387399774345605
2020-06-12,2.703,2.4681458229293,2.0661592505854802,2.26715253675739,2.4124350245049264
2020-06-15,2.732,2.4493828922023257,2.0907494145199066,2.270066153361116,2.424044102240744
2020-06-16,2.786,2.475351359063994,2.123536299765808,2.299443829414901,2.4616292196099336
2020-06-17,2.823,2.480630662766641,2.1340749414519906,2.3073528021093157,2.4792352014062105
2020-06-18,2.75,2.4999643290290363,2.1405152224824358,2.320239775755736,2.463493183837157
2020-06-19,2.833,2.560462295783691,2.1405152224824358,2.3504887591330634,2.5113258394220423
2020-06-22,2.836,2.5581080117000785,2.1645199063231852,2.361313959011632,2.5195426393410876
2020-06-23,2.918,2.5947777698508956,2.1762295081967213,2.3855036390238085,2.5630024260158724
2020-06-24,2.895,2.602696725404866,2.128805620608899,2.3657511730068825,2.542167448671255
2020-06-29,2.942,2.6163943782549763,2.126463700234192,2.3714290392445845,2.5616193594963894
2020-06-30,2.98,2.653492188057359,2.168032786885246,2.4107624874713025,2.600508324980868
2020-07-01,2.913,2.7356067632160945,2.1914519906323187,2.463529376924207,2.613352917949471
2020-07-02,2.875,2.780195476920882,2.200234192037471,2.4902148344791764,2.6184765563194508
2020-07-03,2.914,2.7778411928372693,2.202576112412178,2.4902086526247236,2.631472435083149
2020-07-06,2.885,2.871156452878647,2.258782201405152,2.5649693271419,2.6716462180945997
2020-07-07,2.943,2.9350074909039026,2.231264637002342,2.5831360639531225,2.7030907093020815
2020-07-08,2.946,2.9575515445530427,2.2581967213114758,2.6078741329322592,2.7205827552881727
2020-07-09,3.044,3.010915317114932,2.2734192037470726,2.6421672604310023,2.7761115069540017
2020-07-10,3.088,3.0188342726689017,2.2857142857142856,2.6522742791915936,2.797516186127729
2020-07-13,3.182,3.1448241421131486,2.23711943793911,2.690971790026129,2.8546478600174194
2020-07-14,3.166,3.1468930584290504,2.256440281030445,2.7016666697297476,2.856444446486498
2020-07-15,3.212,3.18227866162517,2.2581967213114758,2.7202376914683226,2.884158460978882
2020-07-16,3.022,2.944281943354498,2.240046838407494,2.5921643908809964,2.735442927253997
2020-07-17,3.076,3.005065277876864,2.2482435597189694,2.6266544187979166,2.776436279198611
