date,sharesNewAccount,close
2013-06-14,37818,2162.04
2013-06-09,91060,2210.9
2013-05-31,110863,2300.6
2013-05-24,110367,2288.53
2013-05-17,86527,2282.87
2013-05-10,83531,2246.83
2013-05-09,31971,2205.5
2013-04-26,95606,2177.91
2013-04-19,78081,2244.64
2013-04-12,76115,2206.78
2013-04-09,49265,2225.29
2013-03-29,188003,2236.62
2013-03-22,171237,2328.28
2013-03-15,164070,2278.4
2013-03-09,170863,2318.61
2013-03-09,156922,2359.51
2013-02-22,146850,2314.16
2013-02-09,83755,2432.4
2013-02-09,123161,2419.02
2013-01-25,125052,2291.3
2013-01-18,118156,2317.07
2013-01-11,94502,2243.0
2013-01-09,40563,2276.99
2012-12-28,107679,2233.25
2012-12-21,111953,2153.31
2012-12-14,101743,2150.63
2012-12-09,85109,2061.79
2012-11-30,93933,1980.12
2012-11-23,82973,2027.38
2012-11-16,77327,2014.73
2012-11-09,72454,2069.07
2012-11-09,80357,2117.05
2012-10-26,84772,2066.21
2012-10-19,72512,2128.3
2012-10-12,64956,2104.93
2012-09-28,118206,2086.17
2012-09-21,101208,2026.69
2012-09-14,105967,2123.85
2012-09-09,82613,2127.76
2012-08-31,99851,2047.52
2012-08-24,93468,2092.1
2012-08-17,88312,2114.89
2012-08-10,85672,2168.81
2012-08-09,79559,2132.8
2012-07-27,88599,2128.76
2012-07-20,84319,2168.64
2012-07-13,77702,2185.9
2012-07-09,72231,2223.58
2012-06-29,153325,2225.43
2012-06-21,104324,2260.88
2012-06-15,106892,2306.85
2012-06-09,93110,2281.45
2012-06-09,109838,2373.44
2012-05-25,101940,2333.55
2012-05-18,93303,2344.52
2012-05-11,93547,2394.98
2012-05-09,53664,2452.01
2012-04-27,113177,2396.32
2012-04-20,93571,2406.86
2012-04-13,83436,2359.16
2012-04-09,36678,2306.55
2012-03-30,244512,2262.79
2012-03-23,225026,2349.54
2012-03-16,226526,2404.74
2012-03-09,200677,2439.46
2012-03-09,237445,2460.69
2012-02-24,220427,2439.63
2012-02-17,187748,2357.18
2012-02-10,158049,2351.98
2012-02-09,124412,2330.4
2012-01-20,99503,2319.12
2012-01-13,114461,2244.58
2012-01-09,48575,2163.39
2011-12-30,163054,2199.42
2011-12-23,172179,2204.78
2011-12-16,158725,2224.84
2011-12-09,139279,2315.27
2011-12-09,165368,2360.66
2011-11-25,170218,2380.22
2011-11-18,172047,2416.56
2011-11-11,168295,2481.08
2011-11-09,180154,2528.29
2011-10-28,182946,2473.41
2011-10-21,151490,2317.28
2011-10-14,135729,2431.37
2011-09-30,227464,2359.22
2011-09-23,208875,2433.16
2011-09-16,131578,2482.34
2011-09-14,105967,2484.83
2011-09-09,190853,2528.28
2011-09-09,158579,2497.75
2011-08-26,212398,2612.19
2011-08-19,205545,2534.36
2011-08-12,204547,2593.17
2011-08-09,164662,2626.42
2011-07-29,210845,2701.73
2011-07-22,203930,2770.79
2011-07-15,182382,2820.17
2011-07-09,168587,2797.77
2011-07-09,278665,2759.36
2011-06-24,249606,2746.21
2011-06-17,203439,2642.82
2011-06-10,133330,2705.14
2011-06-09,197383,2728.02
2011-05-27,226622,2709.95
2011-05-20,202902,2858.46
2011-05-13,190511,2871.03
2011-05-09,140827,2863.89
2011-04-29,249113,2911.51
2011-04-22,262342,3010.52
2011-04-15,253883,3050.53
2011-04-09,140239,3030.02
2011-04-09,419947,2967.41
2011-03-25,407906,2977.81
2011-03-18,391075,2906.89
2011-03-11,398249,2933.8
2011-03-09,352384,2942.31
2011-02-25,389348,2878.57
2011-02-18,334131,2899.79
2011-02-11,131704,2827.33
2011-02-09,64008,2798.96
2011-01-28,208402,2752.75
2011-01-21,201619,2715.29
2011-01-14,191737,2791.34
2011-01-09,145969,2838.8
2010-12-31,277822,2808.08
2010-12-24,295738,2835.16
2010-12-17,287217,2893.74
2010-12-10,280424,2841.04
2010-12-09,328582,2842.43
2010-11-26,388107,2871.7
2010-11-19,436396,2888.57
2010-11-12,565972,2985.43
2010-11-09,449905,3129.5
2010-10-29,430634,2978.83
2010-10-22,388971,2975.04
2010-10-15,308154,2971.16
2010-10-09,49927,2738.74
2010-09-30,236276,2655.66
2010-09-21,114055,2591.55
2010-09-17,276319,2598.69
2010-09-10,259557,2663.21
2010-09-09,259650,2655.39
2010-08-27,266805,2610.74
2010-08-20,262763,2642.31
2010-08-13,253154,2606.7
2010-08-09,235175,2658.39
2010-07-30,288339,2637.5
2010-07-23,254995,2572.03
2010-07-16,230496,2424.27
2010-07-09,217557,2470.92
2010-07-09,277833,2382.9
2010-06-25,292805,2552.82
2010-06-18,111948,2513.22
2010-06-11,259665,2569.94
2010-06-09,245237,2553.59
2010-05-28,305085,2655.77
2010-05-21,284258,2583.52
2010-05-14,289234,2696.63
2010-05-09,197716,2688.38
2010-04-30,310173,2870.61
2010-04-23,312621,2983.54
2010-04-16,311338,3130.3
2010-04-09,401935,3157.96
2010-04-09,240951,3145.35
2010-03-26,432897,3059.72
2010-03-19,395390,3067.75
2010-03-12,352203,3013.41
2010-03-09,335279,3031.06
2010-02-26,330875,3051.94
2010-02-12,191451,3018.13
2010-02-09,263282,2939.4
2010-01-29,310422,2989.29
2010-01-22,325576,3128.59
2010-01-15,285572,3224.15
2010-01-09,235778,3196.0
2009-12-31,243883,3277.14
2009-12-25,306554,3141.35
2009-12-18,338292,3113.89
2009-12-11,377841,3247.32
2009-12-09,403082,3317.04
2009-11-27,454027,3096.27
2009-11-20,365539,3308.35
2009-11-13,306064,3187.65
2009-11-09,300702,3164.04
2009-10-30,297196,2995.85
2009-10-23,267157,3107.85
2009-10-16,247025,2976.63
2009-10-09,53046,2911.72
2009-09-30,171347,2779.43
2009-09-25,350382,2838.84
2009-09-18,345844,2962.67
2009-09-11,324856,2989.79
2009-09-09,365825,2861.61
2009-08-28,449267,2860.69
2009-08-21,480438,2960.77
2009-08-14,484185,3046.97
2009-08-09,662727,3260.69
2009-07-31,700617,3412.06
2009-07-24,566937,3372.6
2009-07-17,484799,3189.74
2009-07-10,399627,3113.93
