2015年3月1日	3,807.04	3,890.32	3,890.32	3,807.04	-	-1.54%
2015年2月22日	3,866.42	3,874.46	3,885.27	3,866.42	-	-0.24%
2015年2月15日	3,875.60	3,856.04	3,875.60	3,851.53	-	0.68%
2015年2月8日	3,849.29	3,754.36	3,849.29	3,754.36	-	2.10%
2015年2月1日	3,770.20	3,703.77	3,782.11	3,703.77	-	3.12%
2015年1月25日	3,656.28	3,769.45	3,769.45	3,656.28	-	-2.75%
2015年1月18日	3,759.76	3,705.65	3,780.51	3,705.65	-	1.62%
2015年1月11日	3,699.79	3,715.36	3,715.36	3,650.74	-	-1.22%
2015年1月4日	3,745.67	3,700.03	3,777.40	3,667.14	-	-0.61%
2014年12月28日	3,768.68	3,826.95	3,826.95	3,768.68	-	-1.42%
2014年12月21日	3,823.00	3,803.94	3,823.00	3,803.94	-	0.90%
2014年12月14日	3,788.97	3,639.97	3,788.97	3,609.06	-	3.44%
2014年12月7日	3,663.10	3,767.70	3,767.70	3,663.10	-	-3.47%
2014年11月30日	3,794.68	3,753.31	3,794.68	3,753.31	-	0.42%
2014年11月23日	3,778.96	3,780.88	3,788.42	3,776.94	-	0.24%
2014年11月16日	3,770.03	3,727.86	3,770.03	3,727.86	-	1.21%
2014年11月9日	3,724.92	3,720.25	3,724.92	3,720.25	-	0.44%
2014年11月2日	3,708.46	3,679.58	3,708.46	3,669.18	-	0.77%
2014年10月26日	3,679.99	3,576.47	3,679.99	3,576.47	-	2.74%
2014年10月19日	3,581.82	3,470.89	3,581.82	3,470.89	-	4.14%
2014年10月12日	3,439.39	3,417.01	3,439.39	3,395.03	-	-1.00%
2014年10月5日	3,474.23	3,579.42	3,588.07	3,474.23	-	-3.09%
2014年9月28日	3,584.94	3,602.09	3,602.09	3,544.98	-	-0.72%
2014年9月21日	3,610.98	3,630.70	3,638.44	3,579.61	-	-1.34%
2014年9月14日	3,660.03	3,611.52	3,661.73	3,611.52	-	1.27%
2014年9月7日	3,614.06	3,641.66	3,641.66	3,614.06	-	-1.05%
2014年8月31日	3,652.26	3,641.52	3,652.26	3,633.87	-	0.24%
2014年8月24日	3,643.34	3,631.86	3,643.34	3,630.98	-	0.80%
2014年8月17日	3,614.50	3,582.70	3,621.23	3,582.70	-	1.75%
2014年8月10日	3,552.17	3,517.53	3,552.17	3,511.96	-	1.28%
2014年8月3日	3,507.21	3,518.31	3,518.31	3,467.14	-	0.40%
2014年7月27日	3,493.18	3,589.73	3,589.73	3,493.18	-	-2.66%
2014年7月20日	3,588.68	3,579.99	3,606.10	3,579.99	-	0.01%
2014年7月13日	3,588.21	3,585.37	3,593.91	3,551.73	-	0.56%
2014年7月6日	3,568.08	3,584.75	3,584.75	3,560.53	-	-0.85%
2014年6月29日	3,598.73	3,552.18	3,598.73	3,552.18	-	1.28%
2014年6月22日	3,553.35	3,555.14	3,555.14	3,532.57	-	-0.06%
2014年6月15日	3,555.60	3,509.54	3,555.60	3,509.54	-	1.40%
2014年6月8日	3,506.58	3,532.47	3,532.47	3,495.57	-	-0.63%
2014年6月1日	3,528.98	3,483.14	3,528.98	3,482.00	-	1.40%
2014年5月25日	3,480.29	3,458.19	3,480.29	3,454.88	-	1.24%
2014年5月18日	3,437.58	3,408.52	3,437.58	3,386.48	-	1.25%
2014年5月11日	3,395.21	3,427.01	3,429.30	3,382.52	-	0.03%
2014年5月4日	3,394.05	3,402.23	3,402.23	3,371.72	-	-0.05%
2014年4月27日	3,395.61	3,374.04	3,400.46	3,374.04	-	0.97%
2014年4月20日	3,362.95	3,377.75	3,391.58	3,362.95	-	-0.06%
2014年4月13日	3,365.00	3,302.98	3,365.00	3,302.98	-	2.72%
2014年4月6日	3,276.04	3,327.27	3,377.61	3,276.04	-	-2.60%
2014年3月30日	3,363.41	3,375.51	3,409.80	3,363.41	-	0.44%
2014年3月23日	3,348.83	3,347.36	3,362.44	3,333.23	-	-0.44%
2014年3月16日	3,363.72	3,349.71	3,373.98	3,349.71	-	1.38%
2014年3月9日	3,317.81	3,381.22	3,381.22	3,317.81	-	-1.91%
2014年3月2日	3,382.57	3,322.85	3,382.57	3,322.85	-	1.05%
2014年2月23日	3,347.38	3,324.84	3,347.38	3,320.43	-	1.30%
2014年2月16日	3,304.36	3,311.27	3,311.27	3,289.83	-	-0.08%
2014年2月9日	3,306.92	3,234.79	3,306.92	3,234.79	-	2.39%
2014年2月2日	3,229.64	3,127.87	3,229.64	3,127.87	-	0.90%
2014年1月26日	3,200.95	3,198.57	3,221.78	3,185.70	-	-0.41%
2014年1月19日	3,214.13	3,309.74	3,312.04	3,214.13	-	-2.62%
2014年1月12日	3,300.51	3,265.27	3,317.75	3,265.27	-	-0.18%
2014年1月5日	3,306.49	3,277.48	3,306.49	3,277.48	-	0.63%
2013年12月29日	3,285.68	3,302.30	3,315.59	3,285.68	-	-0.51%
2013年12月22日	3,302.66	3,277.62	3,303.15	3,277.62	-	1.31%
2013年12月15日	3,259.79	3,202.22	3,259.79	3,192.33	-	2.44%
2013年12月8日	3,182.07	3,239.99	3,239.99	3,182.07	-	-1.61%
2013年12月1日	3,233.99	3,225.06	3,233.99	3,197.76	-	0.01%
2013年11月24日	3,233.72	3,226.53	3,236.14	3,226.53	-	0.10%
2013年11月17日	3,230.54	3,205.46	3,230.54	3,188.04	-	0.41%
2013年11月10日	3,217.20	3,168.41	3,217.20	3,161.10	-	1.61%
2013年11月3日	3,166.10	3,158.47	3,166.10	3,124.12	-	0.60%
2013年10月27日	3,147.21	3,147.36	3,165.11	3,138.09	-	0.13%
2013年10月20日	3,143.16	3,116.09	3,143.16	3,116.09	-	0.88%
2013年10月13日	3,115.77	3,053.84	3,115.77	3,032.27	-	2.44%
2013年10月6日	3,041.43	2,991.39	3,041.43	2,955.41	-	0.81%
2013年9月29日	3,017.05	3,000.18	3,024.38	2,995.81	-	-0.04%
2013年9月22日	3,018.24	3,035.09	3,035.09	3,018.24	-	-1.02%
2013年9月15日	3,049.47	3,026.94	3,076.81	3,026.94	-	1.32%
2013年9月8日	3,009.79	2,979.45	3,010.94	2,979.45	-	2.03%
2013年9月1日	2,949.80	2,921.23	2,949.80	2,921.23	-	1.40%
2013年8月25日	2,908.96	2,950.13	2,950.13	2,903.29	-	-1.79%
2013年8月18日	2,962.06	2,930.27	2,962.06	2,924.73	-	0.50%
2013年8月11日	2,947.46	3,005.42	3,014.43	2,947.46	-	-2.04%
2013年8月4日	3,008.79	3,034.43	3,034.43	3,006.63	-	-0.98%
2013年7月28日	3,038.63	2,994.45	3,038.63	2,994.45	-	1.10%
2013年7月21日	3,005.51	3,012.30	3,012.30	2,995.30	-	-0.02%
2013年7月14日	3,006.13	2,988.35	3,006.13	2,977.26	-	0.73%
2013年7月7日	2,984.24	2,913.20	2,984.24	2,913.20	-	3.01%
2013年6月30日	2,897.12	2,866.41	2,897.12	2,865.48	-	1.63%
2013年6月23日	2,850.66	2,790.66	2,862.92	2,790.66	-	0.91%
2013年6月16日	2,824.97	2,907.11	2,929.81	2,817.44	-	-2.09%
2013年6月9日	2,885.24	2,912.63	2,912.63	2,859.62	-	-0.97%
2013年6月2日	2,913.46	2,906.91	2,913.46	2,851.89	-	0.83%
2013年5月26日	2,889.46	2,940.45	2,940.45	2,889.46	-	-1.11%
2013年5月19日	2,921.88	2,950.53	2,955.70	2,921.88	-	-1.04%
2013年5月12日	2,952.56	2,891.17	2,952.56	2,891.17	-	2.14%
2013年5月5日	2,890.77	2,859.34	2,890.77	2,859.34	-	1.29%
2013年4月28日	2,853.88	2,816.39	2,853.88	2,797.28	-	2.06%
2013年4月21日	2,796.24	2,760.80	2,801.28	2,760.80	-	1.76%
2013年4月14日	2,747.94	2,742.63	2,781.85	2,723.72	-	-2.11%
2013年4月7日	2,807.10	2,761.05	2,815.02	2,761.05	-	2.34%
2013年3月31日	2,742.86	2,757.83	2,772.11	2,742.86	-	-0.98%
2013年3月24日	2,770.05	2,738.08	2,770.05	2,738.08	-	0.83%
2013年3月17日	2,747.25	2,738.68	2,750.42	2,727.69	-	-0.24%
2013年3月10日	2,753.82	2,744.81	2,758.30	2,738.35	-	0.66%
2013年3月3日	2,735.67	2,688.54	2,735.67	2,688.54	-	2.22%
2013年2月24日	2,676.18	2,621.46	2,676.18	2,621.46	-	0.22%
2013年2月17日	2,670.36	2,696.26	2,696.26	2,646.75	-	-0.22%
2013年2月10日	2,676.21	2,669.37	2,678.77	2,669.37	-	0.20%
2013年2月3日	2,670.85	2,630.05	2,670.85	2,630.05	-	0.38%
2013年1月27日	2,660.70	2,636.83	2,660.70	2,634.16	-	0.72%
2013年1月20日	2,641.64	2,623.22	2,641.64	2,623.22	-	1.15%
2013年1月13日	2,611.54	2,584.27	2,611.54	2,584.27	-	0.96%
2013年1月6日	2,586.69	2,567.63	2,586.69	2,560.17	-	0.43%
2012年12月30日	2,575.66	2,504.44	2,575.66	2,504.44	-	4.59%
2012年12月23日	2,462.71	2,504.51	2,504.51	2,462.71	-	-1.90%
2012年12月16日	2,510.32	2,509.84	2,538.72	2,509.84	-	1.21%
2012年12月9日	2,480.36	2,487.78	2,505.76	2,480.36	-	-0.26%
2012年12月2日	2,486.84	2,470.07	2,486.84	2,465.90	-	0.20%
2012年11月25日	2,481.82	2,463.12	2,481.82	2,450.48	-	0.56%
2012年11月18日	2,468.06	2,428.47	2,468.06	2,428.47	-	3.66%
2012年11月11日	2,381.02	2,414.24	2,414.24	2,369.32	-	-1.36%
2012年11月4日	2,413.92	2,476.94	2,496.46	2,409.72	-	-2.32%
2012年10月28日	2,471.30	2,467.51	2,494.67	2,467.51	-	0.18%
2012年10月21日	2,466.80	2,504.96	2,504.96	2,461.18	-	-1.48%
2012年10月14日	2,503.80	2,515.44	2,552.05	2,503.80	-	0.34%
2012年10月7日	2,495.28	2,542.21	2,542.21	2,495.28	-	-2.19%
2012年9月30日	2,551.02	2,520.71	2,551.02	2,520.71	-	1.48%
2012年9月23日	2,513.93	2,541.23	2,541.23	2,500.92	-	-1.30%
2012年9月16日	2,546.92	2,548.26	2,548.26	2,545.05	-	-0.36%
2012年9月9日	2,556.13	2,491.11	2,556.13	2,491.11	-	1.99%
2012年9月2日	2,506.37	2,447.80	2,506.37	2,445.81	-	2.28%
2012年8月26日	2,450.60	2,456.22	2,457.05	2,438.20	-	-0.28%
2012年8月19日	2,457.40	2,468.99	2,468.99	2,441.29	-	-0.47%
2012年8月12日	2,469.00	2,443.05	2,469.00	2,443.05	-	0.95%
2012年8月5日	2,445.64	2,423.46	2,445.64	2,423.46	-	1.15%
2012年7月29日	2,417.77	2,406.99	2,417.77	2,372.31	-	0.40%
2012年7月22日	2,408.07	2,346.22	2,408.07	2,324.33	-	1.72%
2012年7月15日	2,367.26	2,350.94	2,391.27	2,350.94	-	0.46%
2012年7月8日	2,356.40	2,348.52	2,356.40	2,318.09	-	0.17%
2012年7月1日	2,352.34	2,369.75	2,385.06	2,352.34	-	-0.48%
2012年6月24日	2,363.79	2,278.98	2,363.79	2,278.98	-	2.08%
